sequenceID	gb_isolate_missing	gb_host_missing	gb_country_missing	gb_place_sampled	gb_collection_year_missing	gb_collection_month_missing	gb_collection_day_missing	gb_pubmed_id_missing	alternative_reference_url_missing	gb_isolation_source_missing
AB073912		Pig			N/A	N/A	N/A			Serum
AB074915					N/A	N/A	N/A			Serum
AB074917					N/A	N/A	N/A			Serum
AB074918					N/A	N/A	N/A			Serum
AB074920					N/A	N/A	N/A			Serum
AB080575					2000	3	N/A			Serum
AB089824					1993	9	N/A			Serum
AB091394					2002	3	N/A			Serum
AB091395					2002	3	N/A			Serum
AB097811		Pig			2002	N/A	N/A			Serum
AB097812		Homo sapiens			1997	N/A	N/A			Serum
AB099347					2002	4	N/A			Serum
AB108537		Homo sapiens			2000	6	N/A			Serum
AB161717		Homo sapiens			1995	N/A	N/A			Serum
AB161718		Homo sapiens			2000	N/A	N/A			Serum
AB161719		Homo sapiens			2002	N/A	N/A			Serum
AB189070		wild boar			2004	4	8			Liver and Serum
AB189071		deer			2003	2	22			N/A
AB189072		Homo sapiens			2003	4	29			Serum
AB189073		Homo sapiens			2003	4	29			Serum
AB189074		Homo sapiens			2003	4	29			Serum
AB189075		Homo sapiens			2003	4	29			Serum
AB193176					2003	3	12	N/A	https://www.jstage.jst.go.jp/article/kanzo/46/6/46_6_389/_article	Serum
AB193177					2001	12	23	N/A	https://www.jstage.jst.go.jp/article/kanzo/46/6/46_6_389/_article	Serum
AB193178					2002	4	30	N/A	https://www.jstage.jst.go.jp/article/kanzo/46/6/46_6_389/_article	Serum
AB197673					1998	10	27	N/A	N/A	Serum
AB197674					2001	4	12	N/A	N/A	Serum
AB200239					2002	3	21			Serum
AB220971					1998-2004	N/A	N/A			Serum
AB220972					1998-2004	N/A	N/A			Serum
AB220973					1998-2004	N/A	N/A			Serum
AB220974					1998-2004	N/A	N/A			Serum
AB220975					1998-2004	N/A	N/A			Serum
AB220976					1998-2004	N/A	N/A			Serum
AB220977					1998-2004	N/A	N/A			Serum
AB220978					1998-2004	N/A	N/A			Serum
